idx,Date,Temperature,Stopped (LGR S/N: 20782708),End Of File (LGR S/N: 20782708)
935,11/22/2022 20:35,23.77,,
936,11/22/2022 20:35,23.78,,
937,11/22/2022 20:36,23.79,,
938,11/22/2022 20:36,23.74,,
939,11/22/2022 20:36,23.71,,
940,11/22/2022 20:36,23.73,,
941,11/22/2022 20:36,23.72,,
942,11/22/2022 20:36,23.79,,
943,11/22/2022 20:37,23.79,,
944,11/22/2022 20:37,23.72,,
945,11/22/2022 20:37,23.76,,
946,11/22/2022 20:37,23.75,,
947,11/22/2022 20:37,23.78,,
948,11/22/2022 20:37,23.78,,
949,11/22/2022 20:38,23.74,,
950,11/22/2022 20:38,23.76,,
951,11/22/2022 20:38,23.79,,
